filename,length,chroma_stft_mean,chroma_stft_var,rms_mean,rms_var,spectral_centroid_mean,spectral_centroid_var,spectral_bandwidth_mean,spectral_bandwidth_var,rolloff_mean,rolloff_var,zero_crossing_rate_mean,zero_crossing_rate_var,harmony_mean,harmony_var,perceptr_mean,perceptr_var,tempo,mfcc1_mean,mfcc1_var,mfcc2_mean,mfcc2_var,mfcc3_mean,mfcc3_var,mfcc4_mean,mfcc4_var,mfcc5_mean,mfcc5_var,mfcc6_mean,mfcc6_var,mfcc7_mean,mfcc7_var,mfcc8_mean,mfcc8_var,mfcc9_mean,mfcc9_var,mfcc10_mean,mfcc10_var,mfcc11_mean,mfcc11_var,mfcc12_mean,mfcc12_var,mfcc13_mean,mfcc13_var,mfcc14_mean,mfcc14_var,mfcc15_mean,mfcc15_var,mfcc16_mean,mfcc16_var,mfcc17_mean,mfcc17_var,mfcc18_mean,mfcc18_var,mfcc19_mean,mfcc19_var,mfcc20_mean,mfcc20_var,label
Mozart ｜ Lacrimosa from Requiem in D minor ｜ Theremin choir and piano(1).wav.0.wav,66149,0.25889716,0.10273146,0.00782497,2.1339887e-05,970.8278654611876,117374.67174657571,1077.8691420520372,368693.964545519,1724.8095703125,1301299.3184731556,0.06076472355769231,0.0002169978124855538,2.4396476e-07,7.0079106e-05,1.0230742e-06,3.960931e-06,107.666015625,-556.33167,9412.647,185.70734,2591.7664,-19.273638,625.2455,1.0774248,174.709,-3.7839622,141.19273,-22.5298,161.10564,-15.064253,88.30559,-11.361419,99.212234,-8.927969,50.367886,-13.544582,109.86791,-13.991982,67.85226,-1.7367064,76.518234,0.36944342,150.73877,0.7410336,57.56837,-0.101239644,35.67983,-8.677897,42.897182,-12.828512,125.339195,-7.5794816,65.768524,1.584766,41.557167,6.324118,40.649876,
Mozart ｜ Lacrimosa from Requiem in D minor ｜ Theremin choir and piano(1).wav.1.wav,66149,0.2084313,0.08502244,0.011882825,6.659438e-05,902.983295342568,14272.341386858947,883.1646789134742,27813.996932925886,1491.505596454327,73566.55032073958,0.057628455528846156,0.00012410041143202921,-8.27936e-07,0.00018619686,-8.038091e-07,3.980143e-06,112.34714673913044,-478.83838,1713.8256,186.96976,129.44998,-26.422611,206.1073,-3.8779318,138.3768,-9.440094,67.383705,-26.715467,34.48004,-15.537691,34.862965,-17.545328,138.73212,-11.822285,95.048355,-8.057862,41.871986,-10.783877,30.650164,-7.301039,78.71384,-5.695445,170.2271,5.24934,68.38711,3.914948,64.5871,-11.146585,27.757719,-10.907186,88.520584,-3.5831027,106.42109,7.0020266,47.96827,7.284704,180.06396,
Mozart ｜ Lacrimosa from Requiem in D minor ｜ Theremin choir and piano(1).wav.2.wav,66149,0.20994185,0.08569013,0.006926623,1.4036734e-05,914.5756175109392,18727.126626412206,843.5807482006165,30464.346235301913,1291.1639873798076,70715.68684041852,0.068359375,0.0003044568575345553,-1.7680105e-06,5.411958e-05,-5.035452e-06,2.4564956e-06,107.666015625,-529.6934,1476.4625,193.9168,217.47018,-22.214615,181.74165,-19.813353,208.01903,-11.780874,58.534924,-23.518097,126.0445,-12.250304,48.795147,-4.088061,87.32802,-2.6103446,36.23897,-10.538525,63.26953,-15.25835,49.34352,-7.554062,69.72971,-1.9451504,73.18672,1.9935143,96.811226,-0.14962757,50.74675,-9.594428,29.206238,-11.932456,54.828262,-5.8941116,63.090324,2.9423573,83.94183,4.7207675,139.52287,
Mozart ｜ Lacrimosa from Requiem in D minor ｜ Theremin choir and piano(1).wav.3.wav,66149,0.19737782,0.08004791,0.012544644,3.4373243e-05,803.8168095841021,9029.767929786007,775.4117911193065,13071.534199734604,1263.7505634014424,32005.01330325589,0.055859375,8.59832763671875e-05,1.5954612e-06,0.00018325011,-2.899042e-06,2.4659955e-06,112.34714673913044,-492.8091,1271.6835,202.02744,139.32626,-17.954815,174.63974,-12.858978,164.24106,-4.6849732,79.61954,-20.420498,49.840767,-19.238224,32.44587,-14.580807,131.26935,-6.5681896,74.6382,-1.5894859,67.435715,-0.384713,119.06905,-4.610715,117.262955,-12.533684,70.58111,-16.192831,59.41514,-18.771147,73.093414,-13.409717,31.576273,-7.472703,34.173504,-6.926681,23.607985,-6.232747,54.00796,-2.1193864,138.36687,
Mozart ｜ Lacrimosa from Requiem in D minor ｜ Theremin choir and piano(1).wav.4.wav,66149,0.23121092,0.08022722,0.013350692,4.8476337e-05,746.7446789718094,9899.091806163991,748.0698974316304,16846.671039894,1134.2200646033655,39790.26328335853,0.05032677283653846,0.00010839678126679369,8.5031184e-07,0.00020730967,5.048445e-06,3.4929565e-06,83.35433467741936,-484.1123,1578.6804,206.57689,516.4738,-11.741211,147.83934,-7.2139287,86.99786,-0.5586067,102.34612,-23.593933,42.354492,-19.71485,22.92995,-18.818766,83.20227,-16.118698,78.51403,-9.589677,37.628582,-6.7926617,59.47083,-7.6549563,59.664227,-10.794066,71.63436,-5.1703086,97.31791,-2.7085905,156.25949,-11.635313,40.02091,-11.349183,29.368933,0.823812,28.099382,8.972992,39.86687,5.5014863,80.436386,
Mozart ｜ Lacrimosa from Requiem in D minor ｜ Theremin choir and piano(1).wav.5.wav,66149,0.197732,0.08025431,0.0642817,0.00056152896,743.0678596996314,1697.6986113217818,654.650424040588,6540.326969993663,1139.851825420673,7376.753040354633,0.05611102764423077,7.545043730876855e-05,2.2528635e-05,0.004359502,3.3725162e-05,8.215464e-05,52.734375,-332.6402,910.07544,221.69049,234.87344,-25.780334,136.0914,-0.104840554,62.02526,-0.8445922,24.57426,-30.785078,56.706615,-7.908699,40.940742,-11.975826,29.510656,-19.113014,20.266071,-17.09393,81.56532,-16.001753,29.268614,-3.6131065,29.133501,-6.1358685,101.64712,-11.754974,81.474266,-7.109499,41.008663,-7.3887205,80.2044,-3.261661,43.56132,-0.6348137,82.39779,-5.868753,112.28923,-6.1925817,54.299477,
Mozart ｜ Lacrimosa from Requiem in D minor ｜ Theremin choir and piano(1).wav.6.wav,66149,0.22232561,0.0879401,0.061092947,0.0019642755,792.568182882695,3336.037500683891,670.2876888464396,9128.782734563109,1121.3829627403845,3330.3938229408486,0.06264272836538462,0.00013538304165270205,-1.8833069e-05,0.0055886433,-7.989614e-06,2.750786e-05,23.70627866972477,-356.5205,2478.8596,195.93979,386.1009,-11.187003,352.63702,-7.2616444,88.54453,-6.052905,39.210114,-24.86029,84.482735,-11.783339,27.715208,-21.630228,172.87714,-22.539148,123.50231,-7.2646537,22.820244,-10.1719055,23.137749,-9.799026,58.689045,0.5968377,73.586845,4.7984447,33.589733,-3.6892457,19.134022,-21.488749,46.174866,-18.424479,14.845277,7.3358,59.996777,13.586945,17.825237,-0.67162,41.8696,
Mozart ｜ Lacrimosa from Requiem in D minor ｜ Theremin choir and piano(1).wav.7.wav,66149,0.23061152,0.08190411,0.0390149,0.00022259074,740.4689128743596,6093.683322400659,699.7320757250644,14570.475077671032,1176.2098106971155,21165.2652672762,0.05018780048076923,8.464954308504183e-05,1.533549e-05,0.0015732595,2.3319079e-05,3.4535162e-05,112.34714673913044,-367.59952,1051.9939,227.81831,195.41257,-28.754341,178.58502,0.7167081,89.221275,1.0419059,79.35093,-25.572783,79.318115,-8.906512,75.02732,-14.770538,28.238295,-16.415834,15.667217,-11.543831,53.69415,-12.5125,40.730568,-3.1094036,53.45895,-8.340167,87.66613,-10.1938305,70.58028,-4.473706,70.59136,-7.7741394,34.480225,-7.05457,23.622381,-6.9140644,40.926525,-5.5958514,104.13679,-4.6597424,64.33329,
Mozart ｜ Lacrimosa from Requiem in D minor ｜ Theremin choir and piano(1).wav.8.wav,66149,0.23079792,0.07976561,0.03463028,0.00021171862,769.4716142046411,4567.86801651402,667.3275928535875,5789.44450947451,1144.158466045673,6680.164757035893,0.061268028846153844,0.0001466648959549221,7.1358045e-06,0.0013080132,3.7362657e-05,1.8859408e-05,112.34714673913044,-385.1206,699.0088,223.50624,135.31917,-23.209198,150.23083,-4.238084,66.71351,-3.489426,46.357502,-26.960514,35.920303,-8.284076,29.772058,-19.897877,104.08675,-20.422363,41.819344,-7.0592184,20.364279,-12.510446,25.266027,-7.133968,53.407497,0.08729624,29.698164,-0.36406732,21.297396,-5.3192983,19.514757,-19.010475,35.40215,-15.219772,19.654581,5.5459056,66.514046,9.622547,51.894344,-1.1367787,57.545155,
Mozart ｜ Lacrimosa from Requiem in D minor ｜ Theremin choir and piano(1).wav.9.wav,66149,0.21641797,0.07621655,0.008667887,1.5245645e-05,644.7485711517733,6391.732066274521,663.7198989795453,22144.880951912597,962.8654597355769,25689.481193638414,0.04538010817307692,9.349585990228596e-05,1.5470727e-06,8.289774e-05,3.435502e-06,1.2373654e-06,135.99917763157896,-537.4178,981.40576,232.051,279.5116,0.29026395,122.93358,-14.231994,80.095955,8.22459,79.6656,-13.875819,66.52206,-19.130276,43.88917,-14.757434,39.500637,-11.472269,26.006731,-5.348006,48.067898,-10.985312,21.943514,-14.870532,52.087543,-8.234491,36.769455,-5.585654,33.566326,-6.2949963,25.271292,-8.219318,18.309069,-13.660645,15.165307,-9.302476,49.549698,0.23931086,67.98308,-2.2655575,36.03044,
